LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,ELDLYPOP,TOT,PC_POP,A,2005,17.21848408,
BEL,ELDLYPOP,TOT,PC_POP,A,2006,17.15535218,
BEL,ELDLYPOP,TOT,PC_POP,A,2007,17.08020958,
BEL,ELDLYPOP,TOT,PC_POP,A,2008,17.0705798,
BEL,ELDLYPOP,TOT,PC_POP,A,2009,17.12099609,
BEL,ELDLYPOP,TOT,PC_POP,A,2010,17.17652896,
BEL,ELDLYPOP,TOT,PC_POP,A,2011,17.31585859,
BEL,ELDLYPOP,TOT,PC_POP,A,2012,17.54467124,
BEL,ELDLYPOP,TOT,PC_POP,A,2013,17.76606865,
BEL,ELDLYPOP,TOT,PC_POP,A,2014,17.99870266,
BEL,ELDLYPOP,TOT,PC_POP,A,2015,18.21043498,
BEL,ELDLYPOP,TOT,PC_POP,A,2016,18.40485567,
BEL,ELDLYPOP,TOT,PC_POP,A,2017,18.61671443,
BEL,ELDLYPOP,TOT,PC_POP,A,2018,18.83530315,
BEL,ELDLYPOP,TOT,PC_POP,A,2019,19.06198408,
BEL,ELDLYPOP,TOT,PC_POP,A,2020,19.26489045,
CAN,ELDLYPOP,TOT,PC_POP,A,1950,7.576673458,
CAN,ELDLYPOP,TOT,PC_POP,A,1951,7.665046538,
CAN,ELDLYPOP,TOT,PC_POP,A,1952,7.657814806,
CAN,ELDLYPOP,TOT,PC_POP,A,1953,7.666929359,
CAN,ELDLYPOP,TOT,PC_POP,A,1954,7.663616198,
CAN,ELDLYPOP,TOT,PC_POP,A,1955,7.650861061,
CAN,ELDLYPOP,TOT,PC_POP,A,1956,7.648183033,
CAN,ELDLYPOP,TOT,PC_POP,A,1957,7.561543438,
CAN,ELDLYPOP,TOT,PC_POP,A,1958,7.497440555,
CAN,ELDLYPOP,TOT,PC_POP,A,1959,7.515944906,
CAN,ELDLYPOP,TOT,PC_POP,A,1960,7.513740215,
CAN,ELDLYPOP,TOT,PC_POP,A,1961,7.542313879,
CAN,ELDLYPOP,TOT,PC_POP,A,1962,7.55045905,
CAN,ELDLYPOP,TOT,PC_POP,A,1963,7.560177474,
CAN,ELDLYPOP,TOT,PC_POP,A,1964,7.566047883,
CAN,ELDLYPOP,TOT,PC_POP,A,1965,7.579541925,
CAN,ELDLYPOP,TOT,PC_POP,A,1966,7.629191258,
CAN,ELDLYPOP,TOT,PC_POP,A,1967,7.664604101,
CAN,ELDLYPOP,TOT,PC_POP,A,1968,7.713833278,
CAN,ELDLYPOP,TOT,PC_POP,A,1969,7.79998722,
CAN,ELDLYPOP,TOT,PC_POP,A,1970,7.890663954,
CAN,ELDLYPOP,TOT,PC_POP,A,1971,8.024803898,
CAN,ELDLYPOP,TOT,PC_POP,A,1972,8.134752615,
CAN,ELDLYPOP,TOT,PC_POP,A,1973,8.247298557,
CAN,ELDLYPOP,TOT,PC_POP,A,1974,8.349945583,
CAN,ELDLYPOP,TOT,PC_POP,A,1975,8.45634423,
CAN,ELDLYPOP,TOT,PC_POP,A,1976,8.625183626,
CAN,ELDLYPOP,TOT,PC_POP,A,1977,8.806553259,
CAN,ELDLYPOP,TOT,PC_POP,A,1978,8.994878523,
CAN,ELDLYPOP,TOT,PC_POP,A,1979,9.214713739,
CAN,ELDLYPOP,TOT,PC_POP,A,1980,9.405201988,
CAN,ELDLYPOP,TOT,PC_POP,A,1981,9.576837793,
CAN,ELDLYPOP,TOT,PC_POP,A,1982,9.720355288,
CAN,ELDLYPOP,TOT,PC_POP,A,1983,9.851129746,
CAN,ELDLYPOP,TOT,PC_POP,A,1984,10.01008199,
CAN,ELDLYPOP,TOT,PC_POP,A,1985,10.24851448,
CAN,ELDLYPOP,TOT,PC_POP,A,1986,10.48480403,
CAN,ELDLYPOP,TOT,PC_POP,A,1987,10.73595053,
CAN,ELDLYPOP,TOT,PC_POP,A,1988,10.93148573,
CAN,ELDLYPOP,TOT,PC_POP,A,1989,11.1002431,
CAN,ELDLYPOP,TOT,PC_POP,A,1990,11.28216544,
CAN,ELDLYPOP,TOT,PC_POP,A,1991,11.45785882,
CAN,ELDLYPOP,TOT,PC_POP,A,1992,11.6005547,
CAN,ELDLYPOP,TOT,PC_POP,A,1993,11.73495449,
CAN,ELDLYPOP,TOT,PC_POP,A,1994,11.84279132,
CAN,ELDLYPOP,TOT,PC_POP,A,1995,11.96656468,
CAN,ELDLYPOP,TOT,PC_POP,A,1996,12.08786778,
CAN,ELDLYPOP,TOT,PC_POP,A,1997,12.21940532,
CAN,ELDLYPOP,TOT,PC_POP,A,1998,12.34970199,
CAN,ELDLYPOP,TOT,PC_POP,A,1999,12.45173971,
CAN,ELDLYPOP,TOT,PC_POP,A,2000,12.55063184,
CAN,ELDLYPOP,TOT,PC_POP,A,2001,12.64260143,
CAN,ELDLYPOP,TOT,PC_POP,A,2002,12.21995008,
CAN,ELDLYPOP,TOT,PC_POP,A,2003,12.3165104,
CAN,ELDLYPOP,TOT,PC_POP,A,2004,12.41701211,
CAN,ELDLYPOP,TOT,PC_POP,A,2005,12.51442411,
CAN,ELDLYPOP,TOT,PC_POP,A,2006,13.25990276,
CAN,ELDLYPOP,TOT,PC_POP,A,2007,13.44332646,
CAN,ELDLYPOP,TOT,PC_POP,A,2008,13.65867562,
CAN,ELDLYPOP,TOT,PC_POP,A,2009,13.88486003,
CAN,ELDLYPOP,TOT,PC_POP,A,2010,14.12742444,
CAN,ELDLYPOP,TOT,PC_POP,A,2011,14.43020376,
CAN,ELDLYPOP,TOT,PC_POP,A,2012,14.84964001,
CAN,ELDLYPOP,TOT,PC_POP,A,2013,15.25807376,
CAN,ELDLYPOP,TOT,PC_POP,A,2014,15.63974932,
CAN,ELDLYPOP,TOT,PC_POP,A,2015,16.02736954,
CAN,ELDLYPOP,TOT,PC_POP,A,2016,16.39726424,
CAN,ELDLYPOP,TOT,PC_POP,A,2017,16.78746334,
CAN,ELDLYPOP,TOT,PC_POP,A,2018,17.14698632,
CAN,ELDLYPOP,TOT,PC_POP,A,2019,17.54316664,
CAN,ELDLYPOP,TOT,PC_POP,A,2020,17.98664174,
CZE,ELDLYPOP,TOT,PC_POP,A,1950,8.397173731,
CZE,ELDLYPOP,TOT,PC_POP,A,1951,8.509171389,
CZE,ELDLYPOP,TOT,PC_POP,A,1952,8.580945719,
CZE,ELDLYPOP,TOT,PC_POP,A,1953,8.668560623,
CZE,ELDLYPOP,TOT,PC_POP,A,1954,8.750968854,
CZE,ELDLYPOP,TOT,PC_POP,A,1955,8.81949321,
CZE,ELDLYPOP,TOT,PC_POP,A,1956,8.933810914,
CZE,ELDLYPOP,TOT,PC_POP,A,1957,9.044407058,
CZE,ELDLYPOP,TOT,PC_POP,A,1958,9.186267905,
CZE,ELDLYPOP,TOT,PC_POP,A,1959,9.384393954,
CZE,ELDLYPOP,TOT,PC_POP,A,1960,9.438376582,
CZE,ELDLYPOP,TOT,PC_POP,A,1961,9.634026476,
CZE,ELDLYPOP,TOT,PC_POP,A,1962,9.870577338,
CZE,ELDLYPOP,TOT,PC_POP,A,1963,10.1006222,
CZE,ELDLYPOP,TOT,PC_POP,A,1964,10.3498359,
CZE,ELDLYPOP,TOT,PC_POP,A,1965,10.62918915,
CZE,ELDLYPOP,TOT,PC_POP,A,1966,10.93636719,
CZE,ELDLYPOP,TOT,PC_POP,A,1967,11.25991337,
CZE,ELDLYPOP,TOT,PC_POP,A,1968,11.56008849,
CZE,ELDLYPOP,TOT,PC_POP,A,1969,11.81926896,
CZE,ELDLYPOP,TOT,PC_POP,A,1970,12.11696049,
CZE,ELDLYPOP,TOT,PC_POP,A,1971,12.28101799,
CZE,ELDLYPOP,TOT,PC_POP,A,1972,12.52542084,
CZE,ELDLYPOP,TOT,PC_POP,A,1973,12.74245253,
CZE,ELDLYPOP,TOT,PC_POP,A,1974,12.91388558,
CZE,ELDLYPOP,TOT,PC_POP,A,1975,13.09118551,
CZE,ELDLYPOP,TOT,PC_POP,A,1976,13.24567397,
CZE,ELDLYPOP,TOT,PC_POP,A,1977,13.37480882,
CZE,ELDLYPOP,TOT,PC_POP,A,1978,13.48870149,
CZE,ELDLYPOP,TOT,PC_POP,A,1979,13.57009171,
CZE,ELDLYPOP,TOT,PC_POP,A,1980,13.46288373,
CZE,ELDLYPOP,TOT,PC_POP,A,1981,13.09590178,
CZE,ELDLYPOP,TOT,PC_POP,A,1982,12.65671293,
CZE,ELDLYPOP,TOT,PC_POP,A,1983,12.17775409,
CZE,ELDLYPOP,TOT,PC_POP,A,1984,11.86467503,
CZE,ELDLYPOP,TOT,PC_POP,A,1985,11.82465423,
CZE,ELDLYPOP,TOT,PC_POP,A,1986,11.9066465,
CZE,ELDLYPOP,TOT,PC_POP,A,1987,12.05990936,
CZE,ELDLYPOP,TOT,PC_POP,A,1988,12.23878971,
CZE,ELDLYPOP,TOT,PC_POP,A,1989,12.39315914,
CZE,ELDLYPOP,TOT,PC_POP,A,1990,12.50657645,
CZE,ELDLYPOP,TOT,PC_POP,A,1991,12.70553306,
CZE,ELDLYPOP,TOT,PC_POP,A,1992,12.8194974,
CZE,ELDLYPOP,TOT,PC_POP,A,1993,12.94138863,
CZE,ELDLYPOP,TOT,PC_POP,A,1994,13.06969647,
CZE,ELDLYPOP,TOT,PC_POP,A,1995,13.21972568,
CZE,ELDLYPOP,TOT,PC_POP,A,1996,13.39341465,
CZE,ELDLYPOP,TOT,PC_POP,A,1997,13.55167425,
CZE,ELDLYPOP,TOT,PC_POP,A,1998,13.67585037,
CZE,ELDLYPOP,TOT,PC_POP,A,1999,13.77070645,
CZE,ELDLYPOP,TOT,PC_POP,A,2000,13.84134909,
CZE,ELDLYPOP,TOT,PC_POP,A,2001,13.82225608,
CZE,ELDLYPOP,TOT,PC_POP,A,2002,13.87769203,
CZE,ELDLYPOP,TOT,PC_POP,A,2003,13.91703166,
CZE,ELDLYPOP,TOT,PC_POP,A,2004,13.9893874,
CZE,ELDLYPOP,TOT,PC_POP,A,2005,14.12161431,
CZE,ELDLYPOP,TOT,PC_POP,A,2006,14.3070775,
CZE,ELDLYPOP,TOT,PC_POP,A,2007,14.48915103,
CZE,ELDLYPOP,TOT,PC_POP,A,2008,14.722755,
CZE,ELDLYPOP,TOT,PC_POP,A,2009,15.04445698,
CZE,ELDLYPOP,TOT,PC_POP,A,2010,15.37318654,
CZE,ELDLYPOP,TOT,PC_POP,A,2011,15.90232599,
CZE,ELDLYPOP,TOT,PC_POP,A,2012,16.50318585,
CZE,ELDLYPOP,TOT,PC_POP,A,2013,17.08978235,
CZE,ELDLYPOP,TOT,PC_POP,A,2014,17.60494254,
CZE,ELDLYPOP,TOT,PC_POP,A,2015,18.07633012,
CZE,ELDLYPOP,TOT,PC_POP,A,2016,18.55517561,
CZE,ELDLYPOP,TOT,PC_POP,A,2017,19.01876439,
CZE,ELDLYPOP,TOT,PC_POP,A,2018,19.41435647,
CZE,ELDLYPOP,TOT,PC_POP,A,2019,19.76523536,
CZE,ELDLYPOP,TOT,PC_POP,A,2020,20.04901798,
DNK,ELDLYPOP,TOT,PC_POP,A,1950,9.031975875,
DNK,ELDLYPOP,TOT,PC_POP,A,1951,9.189266241,
DNK,ELDLYPOP,TOT,PC_POP,A,1952,9.342817013,
DNK,ELDLYPOP,TOT,PC_POP,A,1953,9.482113639,
DNK,ELDLYPOP,TOT,PC_POP,A,1954,9.615265912,
DNK,ELDLYPOP,TOT,PC_POP,A,1955,9.764370672,
DNK,ELDLYPOP,TOT,PC_POP,A,1956,9.938818236,
DNK,ELDLYPOP,TOT,PC_POP,A,1957,10.10300741,
DNK,ELDLYPOP,TOT,PC_POP,A,1958,10.25594698,
DNK,ELDLYPOP,TOT,PC_POP,A,1959,10.41847489,
DNK,ELDLYPOP,TOT,PC_POP,A,1960,10.59513237,
DNK,ELDLYPOP,TOT,PC_POP,A,1961,10.78405097,
DNK,ELDLYPOP,TOT,PC_POP,A,1962,10.94914445,
DNK,ELDLYPOP,TOT,PC_POP,A,1963,11.10304429,
DNK,ELDLYPOP,TOT,PC_POP,A,1964,11.25300027,
DNK,ELDLYPOP,TOT,PC_POP,A,1965,11.39306045,
DNK,ELDLYPOP,TOT,PC_POP,A,1966,11.52535102,
DNK,ELDLYPOP,TOT,PC_POP,A,1967,11.67572287,
DNK,ELDLYPOP,TOT,PC_POP,A,1968,11.87219662,
DNK,ELDLYPOP,TOT,PC_POP,A,1969,12.07900471,
DNK,ELDLYPOP,TOT,PC_POP,A,1970,12.2737255,
DNK,ELDLYPOP,TOT,PC_POP,A,1971,12.47598792,
DNK,ELDLYPOP,TOT,PC_POP,A,1972,12.68237654,
DNK,ELDLYPOP,TOT,PC_POP,A,1973,12.8920508,
DNK,ELDLYPOP,TOT,PC_POP,A,1974,13.13597334,
DNK,ELDLYPOP,TOT,PC_POP,A,1975,13.39087904,
DNK,ELDLYPOP,TOT,PC_POP,A,1976,13.61385499,
DNK,ELDLYPOP,TOT,PC_POP,A,1977,13.84011147,
DNK,ELDLYPOP,TOT,PC_POP,A,1978,14.06759625,
DNK,ELDLYPOP,TOT,PC_POP,A,1979,14.25587701,
DNK,ELDLYPOP,TOT,PC_POP,A,1980,14.40740016,
DNK,ELDLYPOP,TOT,PC_POP,A,1981,14.54149234,
DNK,ELDLYPOP,TOT,PC_POP,A,1982,14.68397615,
DNK,ELDLYPOP,TOT,PC_POP,A,1983,14.82624103,
DNK,ELDLYPOP,TOT,PC_POP,A,1984,14.94274123,
DNK,ELDLYPOP,TOT,PC_POP,A,1985,15.08689125,
DNK,ELDLYPOP,TOT,PC_POP,A,1986,15.25977564,
DNK,ELDLYPOP,TOT,PC_POP,A,1987,15.37763428,
DNK,ELDLYPOP,TOT,PC_POP,A,1988,15.46874686,
